Role,Feature
Software Engineer,python java c++ backend api database system design coding algorithms software development
Backend Developer,node js python django flask api microservices database server logic backend development
Frontend Developer,html css javascript react angular ui design responsive web frontend development
Full Stack Developer,frontend backend javascript node react database api full stack web development
Mobile App Developer,android ios kotlin swift mobile app development ui api integration
Game Developer,unity unreal engine game design graphics programming c++ game physics rendering

Data Scientist,python machine learning data analysis pandas numpy statistics data visualization modeling
Data Analyst,excel sql data analysis reporting dashboards visualization business intelligence
Machine Learning Engineer,python tensorflow pytorch deep learning model training deployment ai systems
AI Engineer,artificial intelligence neural networks deep learning nlp computer vision ai systems
Business Intelligence Analyst,power bi tableau dashboards reporting data insights business analysis

Cyber Security Analyst,network security ethical hacking penetration testing firewall encryption vulnerability analysis
Security Engineer,cyber security network security threat detection security protocols encryption systems
DevOps Engineer,aws docker kubernetes ci cd deployment automation cloud infrastructure monitoring
Cloud Engineer,aws azure cloud computing infrastructure deployment networking storage virtualization

Lawyer,law legal court litigation advocate criminal civil legal advice judiciary
Legal Advisor,corporate law compliance contracts legal consulting documentation regulations
Judge,judiciary legal decision court law justice constitution legal proceedings

Accountant,accounting finance tax auditing bookkeeping balance sheet financial reporting tally
Financial Analyst,finance investment risk analysis financial modeling forecasting portfolio management
Investment Banker,finance investment banking capital markets mergers acquisitions financial strategy

HR Manager,recruitment hiring employee relations hr policies talent acquisition payroll management
HR Executive,hr operations onboarding recruitment employee engagement training hr systems
Talent Acquisition Specialist,recruitment sourcing hiring interviews talent pipeline hr analytics

Marketing Manager,digital marketing branding campaign seo social media analytics strategy
Digital Marketing Executive,seo sem google ads social media marketing online campaigns analytics
Content Strategist,content planning seo writing blogging storytelling digital content marketing

Sales Executive,sales business development negotiation client relationship revenue generation marketing
Business Development Manager,lead generation sales strategy partnerships client acquisition growth strategy

Graphic Designer,photoshop illustrator graphic design branding visual communication ui ux design
UI UX Designer,user experience interface design wireframe prototyping figma usability design
Video Editor,video editing adobe premiere after effects multimedia production content creation

Doctor,medical diagnosis treatment surgery patient care healthcare clinical medicine
Nurse,patient care hospital treatment healthcare emergency nursing support clinical care
Pharmacist,medicine pharmacy drug dispensing healthcare prescriptions pharmacology

Fitness Trainer,fitness training workout nutrition exercise gym coaching health training
Physiotherapist,physical therapy rehabilitation injury recovery healthcare exercise therapy

Teacher,teaching classroom lesson planning education subject knowledge student assessment
Professor,academic teaching research university lectures publications higher education

Hotel Manager,hotel management hospitality operations customer service tourism management
Restaurant Manager,restaurant operations food service staff management hospitality customer service

Customer Support Executive,customer service communication problem solving call handling crm tools
Call Center Executive,customer support calls communication client service problem resolution

Public Relations Officer,public relations media communication press release brand image networking
Event Manager,event planning coordination logistics management communication organization

Civil Engineer,construction site engineering building design structural engineering project management
Mechanical Engineer,mechanical systems design manufacturing machines engineering thermodynamics
Electrical Engineer,electrical systems circuits power systems engineering electronics design

Automobile Engineer,vehicle design automotive engineering engines manufacturing automobile systems
Production Engineer,manufacturing production processes industrial engineering quality control

Supply Chain Manager,logistics supply chain inventory management procurement operations planning
Operations Manager,business operations management process optimization logistics coordination

Bank Manager,banking operations loans credit risk customer relations financial services
Loan Officer,bank loans credit assessment customer finance documentation banking process

Research Scientist,research experiments data analysis scientific studies innovation laboratory work
Lab Technician,laboratory testing experiments scientific equipment research support analysis

Journalist,news reporting writing communication media journalism investigation storytelling
Content Writer,content writing blogging seo copywriting editing communication storytelling

Translator,language translation communication multilingual interpretation writing linguistic skills
Editor,editing proofreading content review writing communication publishing

Fashion Designer,fashion design creativity apparel clothing trends textile design
Interior Designer,interior design space planning decoration architecture design aesthetics

Architect,building design architecture planning construction blueprints structural design
Urban Planner,city planning infrastructure development zoning environmental planning

Agricultural Engineer,agriculture machinery irrigation farming systems engineering crop production
Farmer,agriculture farming crop cultivation soil management irrigation

BPO Executive,business process outsourcing customer support operations call handling communication
Office Assistant,administrative work office management documentation communication support

Secretary,administrative assistance scheduling communication office coordination management
Receptionist,front desk communication customer interaction office support scheduling
